Name,Status,Section,Activity,Term,Mode of Delivery,Interval,Days,Start Time,End Time,Section Comments,Requires In-Person Attendance,Total Seats Remaining:,Currently Registered:,General Seats Remaining:,Restricted Seats Remaining*:,Course URL
"AHMED, SUBORNA",Full,FRST 232 101,Lecture,1,Hybrid,,Mon Wed Fri,16:00,17:00,"Section Comments  Please note that this is a hybrid course, and students can join in person or online. This course is also open to non-Forestry students",Yes,0,75,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=232&section=101
"AHMED, SUBORNA",,FRST 232 201,Lecture,2,Hybrid,,Mon Wed Fri,13:00,14:00,"Section Comments  Please note that this is a hybrid course, and students can join in person or online. This course is also open to non-Forestry students",Yes,9,71,9,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=232&section=201
"AHMED, SUBORNA",,FRST 232 L01,Laboratory,1,In-Person,,Mon,17:00,19:00,,Yes,20,20,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=232&section=L01
"AHMED, SUBORNA",,FRST 232 L02,Laboratory,1,Hybrid,,Wed,17:00,19:00,,Yes,5,55,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=232&section=L02
"AHMED, SUBORNA",,FRST 232 LA2,Laboratory,2,Hybrid,,Wed,10:00,12:00,Section Comments  This course is also open to non-Forestry students.,Yes,27,13,27,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=232&section=LA2
"AHMED, SUBORNA",,FRST 232 LA3,Laboratory,2,Hybrid,,Fri,15:00,17:00,Section Comments  This course is also open to non-Forestry students.,Yes,2,58,2,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=232&section=LA3
"AHMED, SUBORNA",,FRST 531 201,Lecture,2,Hybrid,,Mon Wed Fri,12:00,13:00,,Yes,27,28,27,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=531&section=201
"AHMED, SUBORNA",Restricted,GEM 530 101,Lecture,1,In-Person,,Tue,9:00,12:00,,Yes,7,29,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=GEM&course=530&section=101
"AITKEN, SALLY",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=783077&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"ALILA, YOUNES",,FOPR 388 101,Lecture,1,In-Person,,Mon Wed Fri,10:00,11:00,Section Comments  This course is cross listed with FRST 385 and is intended for BSF Forest Operations students.,Yes,5,10,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FOPR&course=388&section=101
"ALILA, YOUNES",,FOPR 388 L03,Laboratory,1,In-Person,,Thu,15:00,17:00,,Yes,5,10,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FOPR&course=388&section=L03
"ALILA, YOUNES",,FRST 231 201,Lecture,2,In-Person,,Tue Thu,11:00,12:30,,Yes,23,67,23,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=231&section=201
